sample_rate_hz,amplitude_lsb,amplitude_mv_peak,noise_lsb,sync_state,quality_gate,valid_blocks,corrected_blocks,uncorrectable_blocks,ok_blocks,pi_hex,ps_text,lock_quality_q16,pilot_level_q8,rds_band_level_q8,success_sync_ps
227758,40,32.234432,0,2,on,99,57,435,156,"0xCAFE",TESTFM  ,62994,30792,1864,1
227758,41,33.040293,0,2,on,147,34,135,181,"0xCAFE",TESTFM  ,63483,30806,1930,1
227758,42,33.846154,0,2,on,186,1,54,187,"0xCAFE",TESTFM  ,63884,30822,2000,1
227758,43,34.652015,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,64238,30835,2066,1
227758,44,35.457875,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,64532,30845,2139,1
227758,45,36.263736,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,64802,30860,2212,1
227758,46,37.069597,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65057,30887,2285,1
227758,47,37.875458,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65265,30904,2351,1
227758,48,38.681319,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,30911,2421,1
227758,49,39.487179,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,30917,2493,1
227758,50,40.293040,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,30942,2560,1
227758,51,41.098901,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,30962,2631,1
227758,52,41.904762,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,30975,2703,1
227758,53,42.710623,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,30989,2771,1
227758,54,43.516484,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31002,2841,1
227758,55,44.322344,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31020,2910,1
227758,56,45.128205,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31033,2977,1
227758,57,45.934066,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31049,3046,1
227758,58,46.739927,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31073,3120,1
227758,59,47.545788,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31085,3187,1
227758,60,48.351648,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31104,3260,1
227758,61,49.157509,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31113,3325,1
227758,62,49.963370,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31131,3396,1
227758,63,50.769231,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31145,3466,1
227758,64,51.575092,0,2,on,191,0,25,191,"0xCAFE",TESTFM  ,65408,31167,3536,1
